date,tests,cases,deaths,critical,intubated,recovery
3-10-2020,,1,0,,,
3-11-2020,,1,0,,,
3-12-2020,,1,0,,,
3-13-2020,,5,0,,,
3-14-2020,,6,0,,,
3-15-2020,,18,0,,,
3-16-2020,,47,0,,,
3-17-2020,,98,1,,,
3-18-2020,,191,2,,,
3-19-2020,,359,4,,,
3-20-2020,,670,9,,,
3-21-2020,,947,21,,,
3-22-2020,,1236,30,,,
3-23-2020,,1529,37,,,
3-24-2020,27969,1872,44,136,102,0
3-25-2020,33004,2433,59,,,26
3-26-2020,40290,3629,75,,,26
3-27-2020,47823,5698,92,344,241,42
3-28-2020,55464,7402,108,445,309,70
3-29-2020,65446,9217,131,568,394,105
3-30-2020,76981,10827,168,725,523,162
3-31-2020,92403,13531,214,847,622,243
4-1-2020,106799,15679,277,979,692,333
4-2-2020,125556,18135,356,1101,783,415
4-3-2020,141716,20921,425,1251,867,484
4-4-2020,161380,23934,501,1311,909,786
4-5-2020,181445,27069,574,1381,935,1042
4-6-2020,202845,30217,649,1415,966,1326
4-7-2020,222868,34109,725,1474,987,1582
4-8-2020,247768,38226,812,1492,995,1846
4-9-2020,276338,42282,908,1552,1017,2142
4-10-2020,307210,47029,1006,1667,1062,2423
4-11-2020,340380,52167,1101,1626,1021,2965
4-12-2020,376100,56956,1198,1665,978,3446
4-13-2020,410556,61049,1296,1786,1063,3957
4-14-2020,443626,65111,1403,1809,1087,4799
4-15-2020,477716,69392,1518,1820,1052,5674
4-16-2020,518143,74193,1643,1854,1040,7089
4-17-2020,558413,78546,1769,1845,1014,8631
4-18-2020,598933,82329,1890,1894,1054,10453
4-19-2020,634277,86306,2017,1922,1031,11976
4-20-2020,673980,90980,2140,1909,1033,13430
4-21-2020,713409,95591,2259,1865,1006,14918
4-22-2020,750944,98674,2376,1814,985,16477
4-23-2020,791906,101790,2491,1816,982,18491
4-24-2020,830257,104912,2600,1790,929,21737
4-25-2020,868565,107773,2706,1782,900,25582
4-26-2020,889742,110130,2805,1776,883,29140
4-27-2020,918885,112261,2900,1736,882,33791
4-28-2020,948115,114653,2992,1621,845,38809
4-29-2020,991613,117589,3081,1574,831,44040
4-30-2020,1033617,120204,3174,1514,803,48886
5-1-2020,1075048,122392,3258,1480,818,53808
5-2-2020,1111366,124375,3336,1445,778,58259
5-3-2020,1135367,126045,3397,1424,766,63151
5-4-2020,1171138,127659,3461,1384,727,68166
5-5-2020,1204421,129491,3520,1338,707,73285
5-6-2020,1234724,131744,3584,1278,669,78202
5-7-2020,1265119,133721,3641,1260,665,82984
5-8-2020,1298806,135569,3689,1219,653,86396
5-9-2020,1334411,137115,3739,1168,628,89480
5-10-2020,1370598,138657,3786,1154,598,92691
5-11-2020,1403320,139771,3841,1126,578,95780
5-12-2020,1440671,141475,3894,1045,576,98889
5-13-2020,1474003,143114,3952,998,535,101715
5-14-2020,1508824,144749,4007,963,508,104030
5-15-2020,1547389,146457,4055,944,490,106133
5-16-2020,1589625,148067,4096,906,474,108137
5-17-2020,1624994,149435,4140,914,468,109962
